0920110512602516318604803GREGORIO                 ECHARRI                  ANDRES                   M                  030S
0820110512602716307603601VICENTE                  FERNANDEZ                TEJADA                   M                  037N
0820110512602716307603601MARIA TERESA RAQUEL      LAHERA                   ALESON                   F                  045S
0820110512602716307603601DANIEL                   AVELLANEDA               PEREZ                    M                  033N
0820110512602716307603601CESAR                    LAHERA                   ALESANCO                 M                  032N
0820110512602716313900900MARÍA DE LOS ÁNGELES     VICENTE                  PÉREZ                    F                  009N
0820110512602716318608604MARTIN                   MIERA                    AZOFRA                   M                  076S
0820110512602716318608604JOSE FELIX               ARANSAY                  AZOFRA                   M                  086S
0820110512602716318608604JESUS                    MENDOZA                  CAMPROVIN                M                  093S
0820110512602716318608604ENRIQUE                  DULCE                    LERENA                   M                  090S
0820110512602816245302800MARIA JOSE               EGUIZABAL                ARGAIZ                   F                  035N
0820110512602816245302800JESUS                    ARAIZ                    ARAIZ                    M                  035N
0820110512602816245302800GUILLERMO                CARMONA                  ROMERO                   M                  017N
0820110512602816245302800ARGIMIRO                 SAINZ                    BRETON                   M                  025N
0820110512602816307607404PEDRO                    SANZ                     EGUIZABAL                M                  079S
0820110512602816307607404MARIA NATIVIDAD          SAINZ                    ARGAIZ                   F                  061S
0820110512602816307607404EMILIANO                 EGUIZABAL                ARGAIZ                   M                  077S
0820110512602816307607404ANGEL                    FERRERO                  CHIMENO                  M                  079S
0820110512602816313902801ÁNGEL                    PASCUAL                  ALFONSO                  M                  018N
0820110512602816313902801MARÍA ÁNGELES            MARTÍNEZ                 SOLANA                   F                  016N
0820110512602816313902801FÉLIX ÁNGEL              SÁINZ                    MAZO                     M                  052S
0820110512602816318600100JESUS                    GARCIA                   GOMEZ                    M                  000N
0820110512602816318600100FRANCISCO                RUIZ DE CARABANTES       ETAYO                    M                  000N
0820110512602816318600100FELIX                    CORDON                   EZQUERRO                 M                  005N
0820110512602816318600100ANTONIA                  GARCIA                   RUIZ                     F                  000N
0920110512602916307602003MARIA MILAGROS           DE BLAS                  JIMENEZ                  F                  012S
0920110512602916307602003DANIEL                   HERCE                    HERCE                    M                  016S
0920110512602916307602003ALFREDO                  HERCE                    JIMENEZ                  M                  013S
0920110512602916313900500CASILDA                  ORTEGA                   ORTEGA                   F                  005N
0920110512602916318600200MIGUEL                   PUJADA                   MORCILLO                 M                  002N
0920110512602916318600200MARIA DEL CARMEN         LOPEZ                    FUSTER                   F                  002N
0920110512603016307601103RICARDO                  NAJERA                   PEREZ                    M                  008S
0920110512603016307601103JESÚS                    FERNANDEZ                NAJERA                   M                  012S
0920110512603016307601103INES                     FERNANDEZ                NAJERA                   F                  003S
0920110512603016313900000ÍÑIGO                    CANTABRANA               GONZÁLEZ                 M                  000N
0920110512603016318600000DANIEL                   LERENA                   ALONSO                   M                  000N
0820110512603116307605403MIGUEL ANGEL             RODRIGUEZ                NEILA                    M                  052S
0820110512603116307605403MARIA DEL SAGRARIO       PEÑA                     ANGUIANO                 F                  053S
0820110512603116307605403CARLOS                   PULGAR                   MORGA                    M                  057S
0820110512603116313900900PEDRO RAMÓN              FERNÁNDEZ DE LAS HERAS   GÓMEZ                    M                  009N
0820110512603116318604302MARIA LARA               LOPEZ                    HERNAEZ                  F                  041N
0820110512603116318604302MARIA ASUNCION           LEJARRAGA                AZOFRA (IND)             F                  058S
0820110512603116318604302EVA MARIA                AZOFRA                   SAENZ                    F                  034N
0820110512603116318604302CESAR                    LUENA                    LOPEZ                    M                  042S
0920110512603216307600900NATIVIDAD                GARCÍA                   GUTIERREZ                F                  014N
0920110512603216307600900JESÚS                    FERNANDEZ                LEDESMA                  M                  004N
0920110512603216313900100BRAULIO                  LLARÍA                   RUBIO                    M                  001N
0920110512603216318603703PEDRO                    SOMALO                   GRACIA (IND)             M                  029S
0920110512603216318603703MARIA ISABEL             GARCIA                   PARRA (IND)              F                  022S
0920110512603216318603703ALFONSO                  RUIZ                     RUEDA (IND)              M                  023S
0820110512601016307605704MIGUEL ANGEL             GARCIA                   GARCIA                   M                  064S
0820110512601016307605704MARIA HENAR              ROMEO                    PAJON                    F                  053S
0820110512601016307605704LUIS MARIA               MELON                    FERNANDEZ                M                  058S
0820110512601016307605704JOSE MARIA               GOMEZ                    GOMEZ                    M                  054S
0820110512601016314100700MARIA DEL CARMEN         PEREZ DE ALBENIZ         LEGARD                   F                  007N
0820110512601016318601401RAQUEL                   PLANCHUELO               BARBADILLO               F                  011N
0820110512601016318601401JUAN MIGUEL              PLANCHUELO               PLANCHUELO               M                  014N
0820110512601016318601401JAVIER                   MELON                    PORRES                   M                  017N
0820110510401401307603900JOSE                     GODOY                    POLO                     M                  031N
0820110510401401307603900ESTEBAN                  RUIZ                     RUIZ                     M                  050N
0820110510401401307603900EDUARDO                  GONZALEZ                 FERIA                    M                  029N
0820110510401401307603900DIEGO                    MIRANDA                  LOPEZ                    M                  049N
0820110510401401321809705TERESA                   MARTIN                   RUIZ                     F                  057S
0820110510401401321809705MIGUEL                   COMPAN                   LESEDUARTE               M                  081S
0820110510401401321809705ISABEL DOLORES           COMPAN                   RUIZ                     F                  081S
0820110510401401321809705FRANCISCO                GARCIA                   GARCIA                   M                  096S
0820110510401401321809705FRANCISCO                COMPAN                   BALAGUER                 M                  074S
0820110510401501290202500MIGUEL                   NAVARRO                  GUTIERREZ                M                  027N
0820110510401501290202500MIGUEL                   GARCIA                   AMATE                    M                  018N
0820110510401501290202500JUAN                     MARTINEZ                 LOPEZ                    M                  008N
0820110510401501290202500ELISA JOSE               SEGURA                   BUENO                    F                  029N
0820110510401501290202500CARMEN                   FERNANDEZ                LOPEZ                    F                  021N
0820110510401501307603401MARIA JOSE               MARTINEZ                 AYALA                    F                  025N
0820110510401501307603401MARIA DEL CARMEN         MARTINEZ                 AYALA                    F                  030N
0820110510401501307603401MANUEL CARMELO           VASCO                    RUBI                     M                  037S
0820110510401501307603401FRANCISCO EDUARDO        GONZALEZ                 IBORRA                   M                  015N
0820110510401501307603401ENRIQUE                  OJEDA                    CARMONA                  M                  029N
0820110510401501321807504YOLANDA                  RODRIGUEZ                AYALA                    F                  014N
0820110510401501321807504MARIA ANDREA             MARTINEZ                 PEREZ                    F                  073S
0820110510401501321807504MANUEL VALENTIN          FERRE                    ORTEGA                   M                  069S
0820110510401501321807504MANUEL NICOLAS           CUADRA                   GONZALEZ                 M                  078S
0820110510401501321807504JUAN RAMON               LORENZO                  GARCIA                   M                  068S
0820110510400901013508604TRINIDAD ISABEL          PEREZ                    MORALES                  F                  010N
0820110510400901013508604SAGRARIO DEL ROSARIO     SAEZ                     LATORRE                  F                  082S
0820110510400901013508604JUAN MANUEL              SANCHEZ                  PEREZ                    M                  087S
0820110510400901013508604JUAN BLAS                MARTINEZ                 SANCHEZ                  M                  088S
0820110510400901013508604FRANCISCO                MARTINEZ                 AVALOS                   M                  078S
0820110510400901307601200RAFAEL                   TERCERO                  PADILLA                  M                  010N
0820110510400901307601200JOSE LUIS                AGUILAR                  GALLART                  M                  009N
0820110510400901307601200FERNANDO                 GIMENEZ                  GIMENEZ                  M                  001N
0820110510400901307601200ELIAS                    SANCHEZ                  PADILLA                  M                  010N
